中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,27 ms,317 Mbps,40652 kB/s
43.153.80.208,443,43.153.80.208,US,1624 Mbps,207872 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,55 ms,436 Mbps,55910 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,18 ms,59 Mbps,7650 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,18 ms,728 Mbps,93184 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,23 ms,1552 Mbps,198656 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,39 ms,2392 Mbps,306176 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,38 ms,538 Mbps,68915 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,60 ms,364 Mbps,46592 kB/s
129.146.60.210,443,129.146.60.210,US,Los Angeles,中转,27 ms,449 Mbps,57548 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,21 ms,1944 Mbps,248832 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,21 ms,589 Mbps,75468 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,56 ms,50 Mbps,6453 kB/s
129.159.47.255,443,129.159.47.255,US,San Jose,中转,4 ms,111 Mbps,14233 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,46 ms,55 Mbps,7108 kB/s
152.70.119.237,443,2a09:bac5:6443:28::4:243,US,San Jose,隧道,41 ms,51 Mbps,6564 kB/s
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,44 ms,848 Mbps,108544 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,105 ms,188 Mbps,24064 kB/s
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,30 ms,888 Mbps,113664 kB/s
129.153.126.67,443,2a09:bac5:60ef:78::c:38b,US,Los Angeles,隧道,76 ms,46 Mbps,5936 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,88 ms,338 Mbps,43315 kB/s
129.146.175.160,443,129.146.175.160,US,Los Angeles,中转,74 ms,360 Mbps,46080 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,131 ms,126 Mbps,16179 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,110 ms,344 Mbps,44134 kB/s
193.122.107.147,443,193.122.107.147,KR,Seoul,中转,128 ms,43 Mbps,5559 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,156 ms,105 Mbps,13516 kB/s
