中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
129.154.207.203,443,2a09:bac1:3f00:90::22:10e,KR,Seoul,隧道,128 ms,150 Mbps,19251 kB/s,19251.0
152.67.212.141,443,152.67.212.141,KR,Seoul,中转,130 ms,143 Mbps,18329 kB/s,18329.0
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,130 ms,140 Mbps,17920 kB/s,17920.0
144.24.80.56,443,2603:c024:8:5677:6f45:947f:3e3a:1eb8,KR,Seoul,隧道,131 ms,138 Mbps,17715 kB/s,17715.0
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,131 ms,136 Mbps,17408 kB/s,17408.0
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,239 ms,65 Mbps,8331 kB/s,8331.0
193.122.110.171,443,193.122.110.171,KR,Seoul,中转,315 ms,47 Mbps,6024 kB/s,6024.0
158.180.65.13,443,158.180.65.13,KR,Seoul,中转,130 ms,41 Mbps,5356 kB/s,5356.0
193.122.107.147,443,193.122.107.147,KR,Seoul,中转,129 ms,5 Mbps,737 kB/s,737.0
152.70.248.96,443,2a09:bac5:4750:155::22:10b,KR,Seoul,隧道,133 ms,5 Mbps,694 kB/s,694.0
