中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
8.213.137.24,443,8.213.137.24,SG,,中转,168 ms,100 Mbps,12902 kB/s,12902.0
129.150.50.63,443,129.150.50.63,SG,Singapore,中转,214 ms,82 Mbps,10547 kB/s,10547.0
124.156.202.172,443,124.156.202.172,SG,,中转,255 ms,75 Mbps,9709 kB/s,9709.0
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,205 ms,71 Mbps,9092 kB/s,9092.0
152.69.225.156,443,2602:ffe4:407:20d9:0:5b7:c55b:c8da,SG,Singapore,隧道,231 ms,66 Mbps,8478 kB/s,8478.0
138.2.69.100,443,2603:c024:4507:3b0f:9fca:905d:c918:efa2,SG,Singapore,隧道,218 ms,65 Mbps,8345 kB/s,8345.0
152.67.212.12,443,2602:ffe4:407:21d9:0:5798:b407:41ed,SG,Singapore,隧道,369 ms,63 Mbps,8098 kB/s,8098.0
144.24.80.97,443,2602:ffe4:407:21d9:0:5f7b:d3f2:960c,SG,Singapore,隧道,230 ms,63 Mbps,8088 kB/s,8088.0
130.162.140.40,443,2602:ffe4:407:21d9:0:15b9:3946:4c5,SG,Singapore,隧道,323 ms,60 Mbps,7780 kB/s,7780.0
158.101.65.113,443,2602:ffe4:407:20d9:0:a988:a3f0:6d9,SG,Singapore,隧道,238 ms,60 Mbps,7730 kB/s,7730.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,206 ms,41 Mbps,5291 kB/s,5291.0
8.222.155.206,443,8.222.155.206,SG,Singapore,中转,220 ms,17 Mbps,2264 kB/s,2264.0
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,207 ms,2 Mbps,306 kB/s,306.0
