中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
184.169.181.217,443,184.169.181.217,US,San Jose,中转,31 ms,1848 Mbps,236544 kB/s,236544.0
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,5 ms,1264 Mbps,161792 kB/s,161792.0
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,29 ms,920 Mbps,117760 kB/s,117760.0
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,24 ms,896 Mbps,114688 kB/s,114688.0
198.23.236.101,443,198.23.236.101,US,San Jose,中转,35 ms,758 Mbps,97075 kB/s,97075.0
44.224.24.91,443,44.224.24.91,US,,中转,57 ms,706 Mbps,90419 kB/s,90419.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,20 ms,623 Mbps,79769 kB/s,79769.0
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,39 ms,583 Mbps,74649 kB/s,74649.0
44.230.218.23,443,52.35.136.129,US,,隧道,35 ms,570 Mbps,73011 kB/s,73011.0
204.110.220.3,443,204.110.220.206,US,,隧道,71 ms,536 Mbps,68608 kB/s,68608.0
54.203.85.46,443,204.110.220.92,US,,隧道,39 ms,530 Mbps,67891 kB/s,67891.0
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,21 ms,503 Mbps,64409 kB/s,64409.0
158.101.15.48,443,158.101.15.48,US,Los Angeles,中转,22 ms,450 Mbps,57651 kB/s,57651.0
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,29 ms,409 Mbps,52428 kB/s,52428.0
35.202.158.120,443,35.202.158.120,US,Chicago,中转,54 ms,401 Mbps,51404 kB/s,51404.0
34.69.150.180,443,34.69.150.180,US,,中转,53 ms,367 Mbps,47001 kB/s,47001.0
192.18.134.231,443,192.18.134.231,US,San Jose,中转,47 ms,366 Mbps,46899 kB/s,46899.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,135 ms,363 Mbps,46489 kB/s,46489.0
18.191.122.211,443,3.130.64.226,US,,隧道,73 ms,348 Mbps,44646 kB/s,44646.0
3.144.191.4,443,3.144.191.4,US,Chicago,中转,72 ms,338 Mbps,43315 kB/s,43315.0
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,29 ms,332 Mbps,42598 kB/s,42598.0
129.146.175.160,443,129.146.175.160,US,Los Angeles,中转,196 ms,308 Mbps,39424 kB/s,39424.0
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,51 ms,272 Mbps,34816 kB/s,34816.0
8.222.67.79,443,8.221.33.172,US,Ashburn,隧道,107 ms,156 Mbps,20070 kB/s,20070.0
18.236.13.188,443,204.110.220.101,US,,隧道,22 ms,139 Mbps,17817 kB/s,17817.0
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,104 ms,132 Mbps,16896 kB/s,16896.0
43.153.103.203,443,43.153.103.203,US,San Jose,中转,40 ms,104 Mbps,13312 kB/s,13312.0
129.146.7.98,443,2a09:bac5:60e8:1173::1bd:f1,US,Los Angeles,隧道,18 ms,93 Mbps,11980 kB/s,11980.0
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,23 ms,73 Mbps,9449 kB/s,9449.0
192.9.158.188,443,2a09:bac1:7680:1cf0::1d2:a1,US,San Jose,隧道,4 ms,72 Mbps,9337 kB/s,9337.0
198.46.193.167,443,198.46.193.167,US,Dallas,中转,42 ms,64 Mbps,8246 kB/s,8246.0
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,41 ms,60 Mbps,7728 kB/s,7728.0
129.146.47.72,443,104.28.237.112,US,Los Angeles,隧道,18 ms,51 Mbps,6610 kB/s,6610.0
152.70.119.237,443,2a09:bac5:6443:28::4:243,US,San Jose,隧道,5 ms,51 Mbps,6533 kB/s,6533.0
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,31 ms,49 Mbps,6278 kB/s,6278.0
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,73 ms,48 Mbps,6228 kB/s,6228.0
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,150 ms,42 Mbps,5472 kB/s,5472.0
129.153.126.67,443,2a09:bac5:60ef:78::c:38b,US,Los Angeles,隧道,85 ms,40 Mbps,5171 kB/s,5171.0
3.138.59.154,443,3.130.64.226,US,,隧道,62 ms,22 Mbps,2843 kB/s,2843.0
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,162 ms,3 Mbps,412 kB/s,412.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,78 ms,1 Mbps,240 kB/s,240.0
