中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
35.202.158.120,443,35.202.158.120,US,Chicago,中转,117 ms,1104 Mbps,141312 kB/s,141312.0
18.191.122.211,443,3.130.64.226,US,,隧道,11 ms,920 Mbps,117760 kB/s,117760.0
3.138.59.154,443,3.130.64.226,US,,隧道,10 ms,912 Mbps,116736 kB/s,116736.0
3.144.191.4,443,3.144.191.4,US,Columbus,中转,21 ms,794 Mbps,101683 kB/s,101683.0
34.69.150.180,443,34.69.150.180,US,,中转,108 ms,743 Mbps,95129 kB/s,95129.0
18.216.55.100,443,18.216.55.100,US,Chicago,中转,48 ms,646 Mbps,82739 kB/s,82739.0
43.153.103.203,443,43.153.103.203,US,San Jose,中转,78 ms,462 Mbps,59187 kB/s,59187.0
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,82 ms,460 Mbps,58982 kB/s,58982.0
43.153.80.208,443,43.153.80.208,US,San Jose,中转,56 ms,452 Mbps,57856 kB/s,57856.0
192.9.138.241,443,192.9.138.241,US,San Jose,中转,52 ms,417 Mbps,53452 kB/s,53452.0
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,51 ms,417 Mbps,53452 kB/s,53452.0
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,55 ms,410 Mbps,52531 kB/s,52531.0
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,52 ms,400 Mbps,51200 kB/s,51200.0
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,33 ms,389 Mbps,49868 kB/s,49868.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,52 ms,387 Mbps,49561 kB/s,49561.0
198.23.236.101,443,198.23.236.101,US,San Jose,中转,54 ms,378 Mbps,48435 kB/s,48435.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,374 Mbps,47923 kB/s,47923.0
44.224.24.91,443,44.224.24.91,US,,中转,62 ms,347 Mbps,44441 kB/s,44441.0
204.110.220.3,443,204.110.220.206,US,,隧道,58 ms,338 Mbps,43315 kB/s,43315.0
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,22 ms,328 Mbps,41984 kB/s,41984.0
54.203.85.46,443,204.110.220.198,US,,隧道,73 ms,324 Mbps,41574 kB/s,41574.0
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,62 ms,314 Mbps,40243 kB/s,40243.0
