中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
3.138.59.154,443,3.130.64.226,US,,隧道,17 ms,1064 Mbps,136192 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,38 ms,548 Mbps,70246 kB/s
129.146.7.98,443,2a09:bac5:60e8:1173::1bd:f1,US,Los Angeles,隧道,65 ms,82 Mbps,10547 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,71 ms,283 Mbps,36249 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,9 ms,944 Mbps,120832 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,80 ms,256 Mbps,32768 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,117 ms,65 Mbps,8442 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,14 ms,72 Mbps,9259 kB/s
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,74 ms,339 Mbps,43417 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,7 ms,394 Mbps,50483 kB/s
143.47.242.195,443,143.47.242.195,GB,London,中转,75 ms,40 Mbps,5158 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,59 ms,69 Mbps,8911 kB/s
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,75 ms,300 Mbps,38502 kB/s
129.146.47.72,443,104.28.205.110,US,Los Angeles,隧道,66 ms,48 Mbps,6240 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,61 ms,372 Mbps,47718 kB/s
150.230.23.156,443,2a0b:21c0:1007:1c8:0:c047:78c2:cc2a,DE,Frankfurt,隧道,85 ms,176 Mbps,22630 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,50 Mbps,6480 kB/s
2603:c020:9:e483:690:2c88:ed7a:3091,,,隧道,0 ms,null Mbps,null kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,153 Mbps,19660 kB/s
2603:c024:c004:dd3f:333e:3245:d0f3:9f67,,,隧道,0 ms,null Mbps,null kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,71 ms,44 Mbps,5676 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,85 ms,308 Mbps,39526 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,79 ms,45 Mbps,5863 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,17 ms,320 Mbps,41062 kB/s
192.9.158.188,443,2a09:bac1:7680:1cf0::1d2:a1,US,San Jose,隧道,78 ms,78 Mbps,10035 kB/s
43.153.80.208,443,43.153.80.208,311 Mbps,39833 kB/s
43.153.80.208,,,隧道,0 ms,null Mbps,null kB/s
152.67.146.213,443,2a0b:21c0:100a:1b0:0:2848:e89c:eae5,DE,Frankfurt,隧道,89 ms,124 Mbps,15872 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,89 ms,214 Mbps,27443 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,85 ms,237 Mbps,30412 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,94 ms,330 Mbps,42291 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,89 ms,240 Mbps,30720 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,86 ms,235 Mbps,30105 kB/s
