中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,33 ms,532 Mbps,68198 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,75 ms,272 Mbps,34918 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,93 ms,219 Mbps,28057 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,71 ms,326 Mbps,41779 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,92 ms,239 Mbps,30617 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,68 ms,312 Mbps,40038 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,11 ms,360 Mbps,46080 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,42 ms,56 Mbps,7222 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,66 ms,0 Mbps,32 kB/s
8.211.54.130,443,8.211.54.130,DE,Frankfurt,中转,97 ms,35 Mbps,4606 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,63 ms,315 Mbps,40345 kB/s
152.70.119.237,443,2a09:bac5:6443:28::4:243,US,San Jose,隧道,69 ms,28 Mbps,3692 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,33 ms,653 Mbps,83660 kB/s
193.122.8.216,443,2a0b:21c0:1007:cb:0:308c:63a:8693,DE,Frankfurt,隧道,88 ms,124 Mbps,15974 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,36 ms,87 Mbps,11161 kB/s
144.21.63.99,443,2a0b:21c0:100a:1b4:0:787b:d4c4:9fec,DE,Frankfurt,隧道,99 ms,100 Mbps,12902 kB/s
141.147.50.63,443,2a0b:21c0:1007:1c8:0:ce26:cc74:7373,DE,Frankfurt,隧道,101 ms,120 Mbps,15360 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,61 ms,47 Mbps,6029 kB/s
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,72 ms,299 Mbps,38297 kB/s
168.138.66.11,443,168.138.66.11,CA,Montréal,中转,24 ms,60 Mbps,7789 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,89 ms,195 Mbps,24985 kB/s
34.82.76.253,443,35.233.242.94,US,Seattle,隧道,71 ms,264 Mbps,33792 kB/s
132.226.31.178,443,2a09:bac5:60ee:1846::26b:22,US,Los Angeles,隧道,65 ms,39 Mbps,5069 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,84 ms,43 Mbps,5537 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,22 ms,562 Mbps,71987 kB/s
129.159.252.97,443,2a0b:21c0:100a:1b3:0:abd4:4aca:f972,DE,Frankfurt,隧道,89 ms,121 Mbps,15564 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,74 ms,318 Mbps,40755 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,280 Mbps,35942 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,86 ms,50 Mbps,6406 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,69 ms,336 Mbps,43110 kB/s
150.230.47.3,443,150.230.47.3,US,San Jose,中转,69 ms,48 Mbps,6218 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,73 ms,299 Mbps,38297 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,106 ms,220 Mbps,28262 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,73 ms,48 Mbps,6194 kB/s
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,77 ms,284 Mbps,36352 kB/s
152.70.61.239,443,98.98.156.22,AE,Frankfurt,隧道,93 ms,116 Mbps,14848 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,122 ms,209 Mbps,26828 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,92 ms,216 Mbps,27750 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,91 ms,207 Mbps,26521 kB/s
130.162.189.90,443,2606:f240:f00:a683:0:5cb9:2ef0:b4ea,US,Frankfurt,隧道,91 ms,116 Mbps,14950 kB/s
141.144.203.25,443,98.98.166.170,AE,Frankfurt,隧道,174 ms,113 Mbps,14540 kB/s
141.147.64.241,443,2a0b:21c0:1007:1c7:0:27c3:1acf:78dd,DE,Frankfurt,隧道,161 ms,108 Mbps,13926 kB/s
141.147.47.26,443,2606:f240:f00:a683:0:f20d:98d5:17d2,US,Amsterdam,隧道,93 ms,130 Mbps,16691 kB/s
141.147.115.77,443,2606:f240:f00:2be4:0:d150:426a:b815,US,Frankfurt,隧道,106 ms,140 Mbps,17920 kB/s
129.159.204.127,443,2606:f240:f00:83a7:0:d008:7861:c040,US,Frankfurt,隧道,96 ms,237 Mbps,30412 kB/s
141.147.76.15,443,2a0b:21c0:100a:1b3:0:dd86:a082:41c,DE,Frankfurt,隧道,128 ms,110 Mbps,14131 kB/s
152.67.44.30,443,152.67.44.30,BR,S
