中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
152.67.212.141,443,152.67.212.141,KR,Seoul,中转,267 ms,88 Mbps,11264 kB/s,11264.0
129.154.207.203,443,2a09:bac1:3f00:90::22:10e,KR,Seoul,隧道,182 ms,82 Mbps,10547 kB/s,10547.0
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,184 ms,80 Mbps,10240 kB/s,10240.0
150.230.249.48,443,150.230.249.48,KR,Seoul,中转,185 ms,77 Mbps,9932 kB/s,9932.0
144.24.80.56,443,2603:c024:8:5677:6f45:947f:3e3a:1eb8,KR,Seoul,隧道,188 ms,76 Mbps,9814 kB/s,9814.0
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,185 ms,54 Mbps,6975 kB/s,6975.0
193.122.110.171,443,193.122.110.171,KR,Seoul,中转,183 ms,40 Mbps,5228 kB/s,5228.0
131.186.28.236,443,131.186.28.236,KR,Seoul,中转,183 ms,37 Mbps,4764 kB/s,4764.0
158.180.65.13,443,158.180.65.13,KR,Seoul,中转,185 ms,16 Mbps,2113 kB/s,2113.0
152.70.248.96,443,2a09:bac5:4750:155::22:10b,KR,Seoul,隧道,182 ms,3 Mbps,471 kB/s,471.0
193.122.107.147,443,193.122.107.147,KR,Seoul,中转,184 ms,0 Mbps,107 kB/s,107.0
