中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
8.213.137.24,443,8.213.137.24,SG,,中转,182 ms,79 Mbps,10137 kB/s,10137.0
129.150.50.63,443,129.150.50.63,SG,Singapore,中转,225 ms,73 Mbps,9390 kB/s,9390.0
138.2.69.100,443,2603:c024:4507:3b0f:9fca:905d:c918:efa2,SG,Singapore,隧道,222 ms,65 Mbps,8416 kB/s,8416.0
131.186.32.87,443,2602:ffe4:407:20da:0:ea93:9e12:334a,SG,Singapore,隧道,334 ms,63 Mbps,8097 kB/s,8097.0
64.110.81.221,443,2602:ffe4:407:20d9:0:3977:16c:50d7,SG,Singapore,隧道,235 ms,60 Mbps,7806 kB/s,7806.0
130.162.133.250,443,2602:ffe4:407:20d9:0:2277:10ce:6e2f,SG,Singapore,隧道,236 ms,60 Mbps,7744 kB/s,7744.0
124.156.202.172,443,124.156.202.172,SG,,中转,228 ms,57 Mbps,7393 kB/s,7393.0
158.101.65.113,443,2602:ffe4:407:20d9:0:a988:a3f0:6d9,SG,Singapore,隧道,234 ms,57 Mbps,7339 kB/s,7339.0
152.69.225.156,443,2602:ffe4:407:20d9:0:5b7:c55b:c8da,SG,Singapore,隧道,244 ms,56 Mbps,7271 kB/s,7271.0
193.122.115.218,443,2602:ffe4:407:20d9:0:50c4:b5f4:a4af,SG,Singapore,隧道,239 ms,54 Mbps,7031 kB/s,7031.0
132.226.231.130,443,2602:ffe4:407:20d9:0:9b6f:ab78:6b8,SG,Singapore,隧道,244 ms,54 Mbps,6925 kB/s,6925.0
130.162.140.40,443,2602:ffe4:407:21d9:0:15b9:3946:4c5,SG,Singapore,隧道,252 ms,53 Mbps,6787 kB/s,6787.0
144.24.80.97,443,2602:ffe4:407:21d9:0:5f7b:d3f2:960c,SG,Singapore,隧道,248 ms,52 Mbps,6675 kB/s,6675.0
146.56.116.174,443,2602:ffe4:407:20da:0:be74:f22d:4b5,SG,Singapore,隧道,247 ms,51 Mbps,6644 kB/s,6644.0
152.67.212.12,443,2602:ffe4:407:21d9:0:5798:b407:41ed,SG,Singapore,隧道,339 ms,47 Mbps,6043 kB/s,6043.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,290 ms,33 Mbps,4243 kB/s,4243.0
8.222.155.206,443,8.222.155.206,SG,Singapore,中转,240 ms,24 Mbps,3152 kB/s,3152.0
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,229 ms,2 Mbps,267 kB/s,267.0
