中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
3.144.191.4,443,3.144.191.4,US,Chicago,中转,33 ms,653 Mbps,83660 kB/s,83660.0
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,61 ms,644 Mbps,82534 kB/s,82534.0
18.216.55.100,443,18.216.55.100,US,Chicago,中转,22 ms,562 Mbps,71987 kB/s,71987.0
35.202.158.120,443,35.202.158.120,US,Chicago,中转,33 ms,532 Mbps,68198 kB/s,68198.0
34.69.150.180,443,34.69.150.180,US,,中转,36 ms,524 Mbps,67072 kB/s,67072.0
3.138.59.154,443,3.130.64.226,US,,隧道,24 ms,483 Mbps,61849 kB/s,61849.0
18.191.122.211,443,3.130.64.226,US,,隧道,22 ms,375 Mbps,48025 kB/s,48025.0
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,11 ms,360 Mbps,46080 kB/s,46080.0
43.153.80.208,443,43.153.80.208,US,San Jose,中转,69 ms,336 Mbps,43110 kB/s,43110.0
129.146.175.160,443,129.146.175.160,US,Los Angeles,中转,60 ms,333 Mbps,42700 kB/s,42700.0
43.153.103.203,443,43.153.103.203,US,San Jose,中转,71 ms,326 Mbps,41779 kB/s,41779.0
158.101.15.48,443,158.101.15.48,US,Los Angeles,中转,65 ms,322 Mbps,41267 kB/s,41267.0
198.23.236.101,443,198.23.236.101,US,San Jose,中转,74 ms,318 Mbps,40755 kB/s,40755.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,63 ms,315 Mbps,40345 kB/s,40345.0
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,68 ms,312 Mbps,40038 kB/s,40038.0
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,64 ms,304 Mbps,38912 kB/s,38912.0
192.9.138.241,443,192.9.138.241,US,San Jose,中转,73 ms,299 Mbps,38297 kB/s,38297.0
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,72 ms,299 Mbps,38297 kB/s,38297.0
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,77 ms,284 Mbps,36352 kB/s,36352.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,280 Mbps,35942 kB/s,35942.0
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,75 ms,272 Mbps,34918 kB/s,34918.0
34.82.76.253,443,35.233.242.94,US,Seattle,隧道,71 ms,264 Mbps,33792 kB/s,33792.0
